lease_number,region,month,R,mean_in,mean_out,ncells_in,ncells_out,log_anomaly,behavior
OCS-A 0482,Mid-Atlantic,Jan,1.450523209925084,0.09897827533514876,0.06823625755030886,19,17449,0.3719243257784883,Selection (R > 1)
OCS-A 0482,Mid-Atlantic,Feb,1.387554062446904,0.09212028862614381,0.06639041398047787,19,17449,0.3275425298050751,Selection (R > 1)
OCS-A 0482,Mid-Atlantic,Mar,0.8330738426611685,0.05667402163932198,0.0680300097507355,19,17449,-0.18263299409211364,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Apr,0.5833086797021415,0.04497890272422841,0.07710994931053702,19,17449,-0.5390387649935657,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,May,0.101948618087507,0.008060668301033346,0.07906598885052583,19,17449,-2.283286336859749,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Jun,0.08679466841816577,0.003283274237458643,0.03782806360455508,19,17449,-2.4442100829561992,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Jul,0.0564971982583366,0.001579171297826657,0.02795132053461851,19,17449,-2.8735642304073092,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Aug,0.39909672809702046,0.001257961162513024,0.0031520207357029835,19,17449,-0.9185514651644608,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Sep,0.550749559983758,0.0019601786840020828,0.003559110758181795,19,17449,-0.5964750922400709,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Oct,0.3888244686786132,0.004306123285603367,0.011074722998368286,19,17449,-0.9446272745319346,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Nov,0.5700970207486067,0.015720131905063203,0.027574485276945945,19,17449,-0.561948720798272,Avoidance (R < 1)
OCS-A 0482,Mid-Atlantic,Dec,1.4057103702054805,0.05617657088135418,0.03996311905498893,19,17449,0.3405427765820389,Selection (R > 1)
OCS-A 0483,Mid-Atlantic,Jan,1.4938798644689388,0.10193677118112301,0.06823625755030886,29,17449,0.4013766714753582,Selection (R > 1)
OCS-A 0483,Mid-Atlantic,Feb,2.029148288242956,0.1347159948842279,0.06639041398047787,29,17449,0.7076161425708544,Selection (R > 1)
OCS-A 0483,Mid-Atlantic,Mar,1.7393613848503637,0.11832877197142305,0.0680300097507355,29,17449,0.5535180256570991,Selection (R > 1)
OCS-A 0483,Mid-Atlantic,Apr,0.9773880420087324,0.07536634237601839,0.07710994931053702,29,17449,-0.02287152871168333,Avoidance (R < 1)
OCS-A 0483,Mid-Atlantic,May,0.190243479730817,0.015041788847282016,0.07906598885052583,29,17449,-1.659450554938987,Avoidance (R < 1)
OCS-A 0483,Mid-Atlantic,Jun,0.13245988899008757,0.005010701105769338,0.03782806360455508,29,17449,-2.021475403989315,Avoidance (R < 1)
OCS-A 0483,Mid-Atlantic,Jul,0.09332917965062411,0.0026086738156475896,0.02795132053461851,29,17449,-2.371622469214631,Avoidance (R < 1)
OCS-A 0483,Mid-Atlantic,Aug,0.9196414183994204,0.0028987288202062763,0.0031520207357029835,29,17449,-0.08377144752556524,Avoidance (R < 1)
